epoch,loss
10.0,0.019746787786960193
10.0,0.019746787786960193
10.0,0.019746787786960193
10.0,0.019746787786960193
10.0,0.019746787786960193
10.0,0.019746787786960193
10.0,0.019746787786960193
20.0,0.013637083964520715
20.0,0.013637083964520715
20.0,0.013637083964520715
20.0,0.013637083964520715
20.0,0.013637083964520715
20.0,0.013637083964520715
20.0,0.013637083964520715
30.0,0.01037656962786475
30.0,0.01037656962786475
30.0,0.01037656962786475
30.0,0.01037656962786475
30.0,0.01037656962786475
30.0,0.01037656962786475
30.0,0.01037656962786475
40.0,0.008468752298020242
40.0,0.008468752298020242
40.0,0.008468752298020242
40.0,0.008468752298020242
40.0,0.008468752298020242
40.0,0.008468752298020242
40.0,0.008468752298020242
50.0,0.006898478055524377
50.0,0.006898478055524377
50.0,0.006898478055524377
50.0,0.006898478055524377
50.0,0.006898478055524377
50.0,0.006898478055524377
50.0,0.006898478055524377
60.0,0.0061994409955912514
60.0,0.0061994409955912514
60.0,0.0061994409955912514
60.0,0.0061994409955912514
60.0,0.0061994409955912514
60.0,0.0061994409955912514
60.0,0.0061994409955912514
70.0,0.00572219461908757
70.0,0.00572219461908757
70.0,0.00572219461908757
70.0,0.00572219461908757
70.0,0.00572219461908757
70.0,0.00572219461908757
70.0,0.00572219461908757
80.0,0.005218199934239324
80.0,0.005218199934239324
80.0,0.005218199934239324
80.0,0.005218199934239324
80.0,0.005218199934239324
80.0,0.005218199934239324
80.0,0.005218199934239324
90.0,0.004763840910982071
90.0,0.004763840910982071
90.0,0.004763840910982071
90.0,0.004763840910982071
90.0,0.004763840910982071
90.0,0.004763840910982071
90.0,0.004763840910982071
100.0,0.004504826696402953
100.0,0.004504826696402953
100.0,0.004504826696402953
100.0,0.004504826696402953
100.0,0.004504826696402953
100.0,0.004504826696402953
100.0,0.004504826696402953
110.0,0.00434324259149528
110.0,0.00434324259149528
110.0,0.00434324259149528
110.0,0.00434324259149528
110.0,0.00434324259149528
110.0,0.00434324259149528
110.0,0.00434324259149528
120.0,0.00426200070178342
120.0,0.00426200070178342
120.0,0.00426200070178342
120.0,0.00426200070178342
120.0,0.00426200070178342
120.0,0.00426200070178342
120.0,0.00426200070178342
130.0,0.00429899504346028
130.0,0.00429899504346028
130.0,0.00429899504346028
130.0,0.00429899504346028
130.0,0.00429899504346028
130.0,0.00429899504346028
130.0,0.00429899504346028
140.0,0.003904758871469435
140.0,0.003904758871469435
140.0,0.003904758871469435
140.0,0.003904758871469435
140.0,0.003904758871469435
140.0,0.003904758871469435
140.0,0.003904758871469435
150.0,0.003693677029404135
150.0,0.003693677029404135
150.0,0.003693677029404135
150.0,0.003693677029404135
150.0,0.003693677029404135
150.0,0.003693677029404135
150.0,0.003693677029404135
